Species,FBname,Genus,Subfamily,BodyShapeI,Vulnerability,Length,DepthRangeShallow,DepthRangeDeep,Aquarium,Dangerous
Acentrophryne dolichonema,NA,Acentrophryne,NA,short and / or deep,10,NA,201,1105,never/rarely,harmless
Acentrophryne longidens,NA,Acentrophryne,NA,short and / or deep,10,NA,NA,1280,never/rarely,harmless
Allenichthys glauerti,Glauert's anglerfish,Allenichthys,Histiophryninae,short and / or deep,10,19,145,NA,never/rarely,harmless
Antennarius biocellatus,Brackishwater frogfish,Antennarius,Antennariinae,short and / or deep,10,14,0,10,NA,poisonous to eat
Antennarius commerson,Commerson's frogfish,Antennarius,Antennariinae,short and / or deep,23.35,45,0,70,never/rarely,harmless
Antennarius hispidus,Shaggy angler,Antennarius,Antennariinae,short and / or deep,10,20,0,90,NA,harmless
Antennarius indicus,Indian frogfish,Antennarius,Antennariinae,short and / or deep,11.94,23,NA,NA,never/rarely,harmless
Antennarius maculatus,Warty frogfish,Antennarius,Antennariinae,short and / or deep,10,15,1,15,commercial,harmless
Antennarius multiocellatus,Longlure frogfish,Antennarius,Antennariinae,short and / or deep,10,20,0,66,commercial,harmless
Antennarius pardalis,NA,Antennarius,Antennariinae,short and / or deep,10,10.2,18,50,never/rarely,harmless
Antennarius pauciradiatus,Dwarf frogfish,Antennarius,Antennariinae,short and / or deep,10,6.3,6,73,NA,harmless
Antennarius pictus,Painted frogfish,Antennarius,Antennariinae,short and / or deep,16,30,0,75,NA,harmless
Antennarius randalli,Randall's frogfish,Antennarius,Antennariinae,short and / or deep,10,8,8,31,never/rarely,harmless
Antennarius striatus,Striated frogfish,Antennarius,Antennariinae,short and / or deep,13.16,25,10,219,commercial,harmless
Antennatus analis,Tailjet frogfish,Antennatus,Antennariinae,short and / or deep,10,7.8,2,21,never/rarely,poisonous to eat
Antennatus bermudensis,Island frogfish,Antennatus,Antennariinae,NA,10,7.6,4,30,never/rarely,harmless
Antennatus coccineus,Scarlet frogfish,Antennatus,Antennariinae,short and / or deep,10,13,1,75,commercial,harmless
Antennatus dorehensis,New Guinean frogfish,Antennatus,Antennariinae,short and / or deep,10,14,0,10,NA,harmless
Antennatus duescus,Side-jet frogfish,Antennatus,Antennariinae,short and / or deep,10,3,NA,137,never/rarely,harmless
Antennatus flagellatus,NA,Antennatus,Antennariinae,NA,10,4.89,NA,45,never/rarely,harmless
Antennatus linearis,Pygmy anglerfish,Antennatus,Antennariinae,short and / or deep,10,7.5,4,33,never/rarely,harmless
Antennatus nummifer,Spotfin frogfish,Antennatus,Antennariinae,short and / or deep,10,13,0,293,commercial,harmless
Antennatus rosaceus,Spiny-tufted frogfish,Antennatus,Antennariinae,short and / or deep,10,5.8,0,130,never/rarely,harmless
Antennatus sanguineus,Bloody frogfish,Antennatus,Antennariinae,short and / or deep,10,8.2,0,40,never/rarely,harmless
Antennatus strigatus,Bandtail frogfish,Antennatus,Antennariinae,short and / or deep,10,8,0,38,never/rarely,harmless
Antennatus tuberosus,Tuberculated frogfish,Antennatus,Antennariinae,short and / or deep,10,9,0,73,never/rarely,poisonous to eat
Bertella idiomorpha,NA,Bertella,NA,NA,29.59,10.2,805,3475,never/rarely,harmless
Borophryne apogon,Netdevil,Borophryne,NA,short and / or deep,10,8.3,NA,1750,never/rarely,harmless
Brachionichthys australis,Australian spotted handfish,Brachionichthys,NA,elongated,10,6.35,18,210,never/rarely,harmless
Brachionichthys hirsutus,Spotted Handfish,Brachionichthys,NA,elongated,10,15,1,60,never/rarely,harmless
Brachiopsilus dianthus,Pink Handfish,Brachiopsilus,NA,elongated,10,9.95,NA,38,never/rarely,harmless
Brachiopsilus dossenus,Humpback Handfish,Brachiopsilus,NA,elongated,10,6.5,20,226,never/rarely,harmless
Brachiopsilus ziebelli,Ziebell<92>s Handfish,Brachiopsilus,NA,elongated,10,11.68,10,20,never/rarely,harmless
Bufoceratias shaoi,NA,Bufoceratias,NA,short and / or deep,10,NA,0,1200,never/rarely,harmless
